country_code,country,measure_code,measure,unit_code,unit,market_type_code,market_type,pharmaceutical_code,pharmaceutical,year,value,obs_status,obs_status2,obs_status3,unit_multiplier,decimals
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2013,13.1,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2014,13.8,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2015,14.5,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2016,15.2,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2017,14.6,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2018,14.4,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2019,13.3,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2020,12.8,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2021,13.1,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2022,13.1,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2023,13.2,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2005,16.3,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2006,19.4,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2007,19.8,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2008,20.7,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2009,21.9,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2010,23.5,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2011,24.5,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2012,26.3,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2013,28,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2014,29.3,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2015,31.5,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2016,33.3,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2017,34,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2018,35.2,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2019,34.7,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2020,35.1,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2021,36.3,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2022,37.2,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,_T,Total,_Z,Not applicable,2023,38.2,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2002,3.5,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2003,5.1,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2004,7.2,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2005,9.7,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2006,11.7,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2007,11.9,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2008,11.8,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2009,13.3,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2010,14.4,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2011,14.8,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2012,16.2,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2013,16.7,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2014,17.3,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2015,18.3,0,,,0,
